演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),16.869
,0dB=1m/s^2
周波数(Hz),データ(dB)
102.4,-57.6643
102.5,-57.6845
102.6,-57.7391
102.7,-57.8027
102.8,-57.823
102.9,-57.7665
103,-57.9205
103.1,-57.8277
103.2,-57.7356
103.3,-57.705
103.4,-57.6541
103.5,-57.7068
103.6,-57.8942
103.7,-57.7893
103.8,-57.7931
103.9,-57.5877
104,-57.6715
104.1,-57.7155
104.2,-57.875
104.3,-57.7027
104.4,-57.5344
104.5,-57.5763
104.6,-57.8264
104.7,-57.7164
104.8,-57.9303
104.9,-57.6043
105,-57.8244
105.1,-57.7231
105.2,-57.781
105.3,-57.8615
105.4,-57.7499
105.5,-57.7428
105.6,-57.6429
105.7,-57.5921
105.8,-57.7592
105.9,-57.6551
106,-57.8664
106.1,-57.6289
106.2,-57.8066
106.3,-57.5738
106.4,-57.7322
106.5,-57.8245
106.6,-57.7017
106.7,-57.6564
106.8,-57.7114
106.9,-57.6734
107,-57.6928
107.1,-57.7376
107.2,-57.7565
107.3,-57.8688
107.4,-57.7699
107.5,-57.9904
107.6,-57.7094
107.7,-57.8075
107.8,-57.7686
107.9,-57.7094
108,-57.9315
108.1,-57.7268
108.2,-57.6797
108.3,-57.6749
108.4,-57.7554
108.5,-57.7744
108.6,-57.8271
108.7,-57.6748
108.8,-57.3953
108.9,-57.5096
109,-57.9723
109.1,-57.5182
109.2,-57.465
109.3,-57.6395
109.4,-57.43
109.5,-57.5751
109.6,-57.4267
109.7,-57.8108
109.8,-57.166
109.9,-58.1287
110,-57.3534
110.1,-57.7728
110.2,-57.8085
110.3,-57.6
110.4,-57.8424
110.5,-57.4691
110.6,-57.6875
110.7,-57.5868
110.8,-57.4641
110.9,-57.7636
111,-57.3897
111.1,-57.8222
111.2,-57.5344
111.3,-57.7755
111.4,-57.4995
111.5,-57.3867
111.6,-57.7736
111.7,-57.6659
111.8,-57.8011
111.9,-57.8305
112,-57.5634
112.1,-57.6676
112.2,-57.4208
112.3,-57.7532
112.4,-57.666
112.5,-57.4696
112.6,-57.7626
112.7,-57.577
112.8,-57.5851
112.9,-57.7057
113,-57.6509
113.1,-57.6101
113.2,-57.3872
113.3,-57.5347
113.4,-57.7613
113.5,-57.9812
113.6,-57.7162
113.7,-57.599
113.8,-57.7058
113.9,-57.4834
114,-57.7696
114.1,-57.7129
114.2,-57.6629
114.3,-57.5202
114.4,-57.6304
114.5,-57.9568
114.6,-57.5254
114.7,-57.7418
114.8,-57.6104
114.9,-57.475
115,-57.4867
115.1,-57.5189
115.2,-57.7888
115.3,-57.421
115.4,-57.392
115.5,-57.4252
115.6,-57.8261
115.7,-57.6189
115.8,-57.4822
115.9,-57.5114
116,-57.4754
116.1,-57.9506
116.2,-57.7502
116.3,-57.698
116.4,-57.514
116.5,-57.7588
116.6,-57.7358
116.7,-57.714
116.8,-57.6603
116.9,-57.3268
117,-57.6737
117.1,-57.5583
117.2,-57.6587
117.3,-57.6956
117.4,-57.48
117.5,-57.4053
117.6,-57.4803
117.7,-57.7102
117.8,-57.6437
117.9,-57.4777
118,-57.3946
118.1,-57.719
118.2,-57.7657
118.3,-57.5358
118.4,-57.4688
118.5,-57.417
118.6,-57.6709
118.7,-57.6583
118.8,-57.7608
118.9,-57.7692
119,-57.6977
119.1,-57.7688
119.2,-57.3728
119.3,-57.7015
119.4,-57.8114
119.5,-57.6263
119.6,-57.564
119.7,-57.3375
119.8,-57.5439
119.9,-58.013
120,-64.4325
120.1,-57.4601
120.2,-57.253
120.3,-57.4853
120.4,-57.8651
120.5,-57.9009
120.6,-57.4829
120.7,-57.4632
120.8,-57.4526
120.9,-57.6332
121,-57.9493
121.1,-57.5239
121.2,-57.5819
121.3,-57.5323
121.4,-57.662
121.5,-57.6378
121.6,-57.6406
121.7,-57.6445
