#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
2010/11/03 03:09:49,203800,-0.014
2010/11/03 03:09:49,204000,0.066
2010/11/03 03:09:49,204200,0.016
2010/11/03 03:09:49,204400,-0.050
2010/11/03 03:09:49,204600,-0.016
2010/11/03 03:09:49,204800,-0.046
2010/11/03 03:09:49,205000,-0.056
2010/11/03 03:09:49,205200,-0.070
2010/11/03 03:09:49,205400,-0.072
2010/11/03 03:09:49,205600,-0.140
2010/11/03 03:09:49,205800,-0.188
2010/11/03 03:09:49,206000,-0.226
2010/11/03 03:09:49,206200,-0.238
2010/11/03 03:09:49,206400,-0.102
2010/11/03 03:09:49,206600,0.092
2010/11/03 03:09:49,206800,0.098
2010/11/03 03:09:49,207000,-0.002
2010/11/03 03:09:49,207200,-0.098
2010/11/03 03:09:49,207400,-0.082
2010/11/03 03:09:49,207600,-0.032
2010/11/03 03:09:49,207800,-0.022
2010/11/03 03:09:49,208000,-0.026
2010/11/03 03:09:49,208200,-0.102
2010/11/03 03:09:49,208400,-0.092
2010/11/03 03:09:49,208600,-0.038
2010/11/03 03:09:49,208800,-0.004
2010/11/03 03:09:49,209000,0.078
2010/11/03 03:09:49,209200,0.072
2010/11/03 03:09:49,209400,0.014
2010/11/03 03:09:49,209600,0.022
2010/11/03 03:09:49,209800,0.014
2010/11/03 03:09:49,210000,-0.020
2010/11/03 03:09:49,210200,0.048
2010/11/03 03:09:49,210400,0.084
2010/11/03 03:09:49,210600,0.084
2010/11/03 03:09:49,210800,0.096
2010/11/03 03:09:49,211000,0.062
2010/11/03 03:09:49,211200,0.078
2010/11/03 03:09:49,211400,0.060
2010/11/03 03:09:49,211600,0.050
2010/11/03 03:09:49,211800,0.088
2010/11/03 03:09:49,212000,0.054
2010/11/03 03:09:49,212200,0.016
2010/11/03 03:09:49,212400,-0.060
2010/11/03 03:09:49,212600,-0.012
2010/11/03 03:09:49,212800,0.038
2010/11/03 03:09:49,213000,-0.008
2010/11/03 03:09:49,213200,-0.088
2010/11/03 03:09:49,213400,-0.086
2010/11/03 03:09:49,213600,-0.138
2010/11/03 03:09:49,213800,-0.130
2010/11/03 03:09:49,214000,-0.136
2010/11/03 03:09:49,214200,-0.080
2010/11/03 03:09:49,214400,-0.106
2010/11/03 03:09:49,214600,-0.130
2010/11/03 03:09:49,214800,-0.086
2010/11/03 03:09:49,215000,0.016
2010/11/03 03:09:49,215200,-0.050
2010/11/03 03:09:49,215400,-0.144
2010/11/03 03:09:49,215600,-0.054
2010/11/03 03:09:49,215800,-0.030
2010/11/03 03:09:49,216000,-0.146
2010/11/03 03:09:49,216200,-0.244
2010/11/03 03:09:49,216400,-0.162
2010/11/03 03:09:49,216600,0.014
2010/11/03 03:09:49,216800,-0.060
2010/11/03 03:09:49,217000,-0.238
2010/11/03 03:09:49,217200,-0.308
2010/11/03 03:09:49,217400,-0.208
2010/11/03 03:09:49,217600,-0.056
2010/11/03 03:09:49,217800,0.016
2010/11/03 03:09:49,218000,0.068
2010/11/03 03:09:49,218200,-0.026
2010/11/03 03:09:49,218400,-0.084
2010/11/03 03:09:49,218600,-0.068
2010/11/03 03:09:49,218800,0.032
2010/11/03 03:09:49,219000,0.132
2010/11/03 03:09:49,219200,0.154
2010/11/03 03:09:49,219400,0.116
